soil_type,n_ratio,p_ratio,k_ratio,ph_level,avg_temp,avg_humidity,avg_rainfall,water_availability,irrigation_type,land_area,season,crop,age,education,annual_income,farming_experience,agro_climatic_zone,using_uzhavan_app,watch_agri_youtube,in_whatsapp_groups,adoption_level,technologies_used
Alluvial,25,61,59,4.7,20.7,65.3,174.6,Low,Borewell,18.9,Kharif,Millets,64,Higher Secondary,549586,12,Hilly,0,1,0,Medium,"['Drone Spraying', 'Soil Moisture Sensor', 'Mulching Sheets', 'Soil Testing Kit', 'Drip Irrigation', 'Sprinkler Irrigation', 'Farm Mechanization Tools']"
Red,132,109,24,7.4,37.6,25.2,219.0,Medium,Sprinkler,2.0,Rabi,Millets,32,Diploma,589141,23,Dry,1,1,0,Medium,"['Farm Mechanization Tools', 'Greenhouse / Polyhouse', 'Drip Irrigation', 'Weather Forecast Mobile App', 'Sprinkler Irrigation', 'Soil Moisture Sensor', 'Soil Testing Kit']"
Sandy,73,26,43,8.2,25.1,65.0,24.1,Low,Drip,5.2,Kharif,Millets,27,Diploma,381025,12,Dry,1,1,1,Medium,"['Greenhouse / Polyhouse', 'Weather Forecast Mobile App', 'Sprinkler Irrigation', 'Farm Mechanization Tools', 'Uzhavan Mobile App', 'Soil Moisture Sensor', 'Drip Irrigation']"
Alluvial,6,132,122,3.9,39.1,20.3,156.2,Low,Drip,10.2,Rabi,Millets,62,Higher Secondary,295895,46,Dry,0,1,1,Medium,"['Soil Moisture Sensor', 'Farm Mechanization Tools', 'Drone Spraying', 'Drip Irrigation', 'Sprinkler Irrigation', 'Soil Testing Kit']"
Clay,78,72,179,5.3,16.4,92.8,245.7,Low,Canal,5.6,Kharif,Millets,56,Primary,678060,7,Coastal,0,1,0,Medium,"['Soil Testing Kit', 'Farm Mechanization Tools', 'Soil Moisture Sensor']"
Alluvial,102,65,15,4.4,37.4,75.8,98.3,Medium,Rainfed,7.1,Rabi,Millets,29,Primary,925861,14,Delta,0,1,0,Medium,"['Weather Forecast Mobile App', 'Mulching Sheets', 'Drip Irrigation', 'Farm Mechanization Tools']"
Black,95,80,55,4.8,38.6,49.4,221.8,High,Rainfed,8.0,Kharif,Sugarcane,46,Middle,596452,25,Hilly,0,0,1,Medium,"['Soil Testing Kit', 'Weather Forecast Mobile App', 'Uzhavan Mobile App', 'Mulching Sheets', 'Drone Spraying']"
Sandy,58,25,109,5.1,37.5,59.0,270.7,High,Rainfed,3.8,Kharif,Millets,38,No Formal,819617,36,Delta,1,1,0,Medium,"['Soil Testing Kit', 'Greenhouse / Polyhouse', 'Weather Forecast Mobile App', 'Drone Spraying', 'Soil Moisture Sensor']"
Alluvial,24,46,170,9.4,20.3,84.1,52.3,Medium,Sprinkler,19.2,Kharif,Millets,62,Middle,237785,12,Coastal,0,0,0,Low,"['Mulching Sheets', 'Uzhavan Mobile App']"
Black,108,15,153,7.5,23.4,82.3,275.0,High,Sprinkler,14.1,Rabi,Sugarcane,63,Primary,629762,41,Dry,1,1,1,High,"['Mulching Sheets', 'Farm Mechanization Tools', 'Soil Testing Kit', 'Drone Spraying', 'Uzhavan Mobile App', 'Weather Forecast Mobile App', 'Sprinkler Irrigation', 'Soil Moisture Sensor']"
Clay,59,122,158,5.9,30.6,26.7,263.5,High,Canal,18.5,Kharif,Paddy,24,No Formal,520441,18,Coastal,0,1,0,Low,"['Weather Forecast Mobile App', 'Uzhavan Mobile App', 'Soil Moisture Sensor', 'Greenhouse / Polyhouse']"
Alluvial,52,100,46,6.3,29.4,32.7,237.9,Medium,Sprinkler,18.6,Rabi,Millets,28,High,512176,27,Hilly,1,0,1,Medium,"['Mulching Sheets', 'Farm Mechanization Tools', 'Drip Irrigation', 'Weather Forecast Mobile App', 'Greenhouse / Polyhouse', 'Soil Moisture Sensor']"
Clay,43,125,170,8.7,33.0,24.8,110.9,Medium,Sprinkler,19.3,Kharif,Millets,44,Higher Secondary,437931,38,Hilly,0,0,1,Low,"['Greenhouse / Polyhouse', 'Soil Testing Kit', 'Drip Irrigation', 'Farm Mechanization Tools']"
